Unnamed: 1;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Pengeluaran;;;;;;;
Subsidi Non BBM ;90630;124660;138610;225050;251670;432200;664220
     Bantuan Sosial ;0;0;0;0;249040;407080;497560
     Pengeluaran rutin lainnya /Belanja Lainnya 1);56940;30990;150420;137380;339720;374230;156210
Pengeluaran Pembangunan ;415850;373250;692470;614500;0;0;0
    Pembiayaan Pembangunan Rupiah ;213700;256080;503450;480180;0;0;0
    Pembiayaan Proyek;202140;117170;189020;134320;0;0;0
Anggaran Belanja untuk Daerah/ Transfer ke Daerah;810540;982040;1203140;1297230;1504640;2261800;2532630
Dana Perimbangan ;810540;946570;1110700;1228680;1432210;2221310;2439670
    Dana Bagi Hasil ;207090;254970;313700;379010;504790;649000;629420
    Dana Alokasi Umum ;603460;691590;769780;821310;887650;1456640;1647870
    Dana Alokasi Khusus ;0;0;27230;28360;39770;115660;162380
Dana otonomi khusus dan penyeimbangan ;0;35480;92440;68550;72430;40490;92960
Suspen;0;0;0;-100;-19870;-9170;-2370
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;20080;20090;20100;20110;20120;20130;20140
;;;;;;;
;9894938;100084393;11261464;13207513;15483103;17261913;187687276
;6970711;69153573;7815335;9082434;10695344;119682838;128036857
;1235420;1337092;1626590;1840889;2129716;23363908;2584356
;674762;854640;1125940;1423359;1600313;19131872;19520676
;850725;733815;950246;1445718;18262195;19456283;16079047
;947942;1095901;1056502;1065838;1177854;11251785;1354532
;658144;706994;718576;766137;847493;9675845;1205662
;289798;388907;337926;299701;330361;157594;148870
;2344050;15811785;2012630;23846697;24507634;34811904;40303557
;1871078;9993887;1439971;1952887;20235324;29982972;24649418
;472972;5817898;572659;4317827;427231;4828932;15654139
;0;3158;2432;4262;17909;234651;285325
;597023;779326;711728;7746713;807164;9505353;9665538
;320788;533089;329267;143027;685405;1927081;2793835
;0;0;0;0;0;0;0
;2924227;3093082;3446129;4125079;4787759;52936292;59650418
;2784360;2850531;3143633;3475386;4083520;44553146;49188289
;777268;738194;896184;967721;1084217;10269503;11766356
;1795071;1864141;2036065;2255337;2738144;31113929;34121932
;212021;248196;211384;252328;261159;3169714;330000
;139867;242551;302496;649693;704239;8383146;1046213
;0;0;0;0;0;0;0
;0;0;0;0;0;0;0
;;;;;;;
;98573075;93738207;10421174;12949992;149141022;165056373;177718286
;69335599;62881247;6974065;8837220;101055824;113716289;120357717
;0;0;0;0;0;0;0
;11282988;1276697;1480781;1757379;19786356;22168882;24371988
;5596347;806679;975968;1246395;14088488;16972269;17662226
;7277248;758708;802871;1178545;14510415;1808642;14734793
;8842981;937821;883833;932620;10051599;11303549;13344129
;5988697;637559;614806;668249;7022378;9871112;11883903
;2854284;300262;269027;264371;3029221;1432437;1460226
;27529145;13808217;1927071;2953582;3464204;35504518;39196251
;13910671;9458587;1399529;2556088;30647874;2100000;23999406
;13618475;434963;527542;397494;3994167;14504518;15196846
;0;0;700;3001;7508;130296;90751
;5774076;738136;686111;711043;7562105;9213607;9792468
;3032815;389262;216730;54654;407311;336748;116511
;0;0;0;0;0;0;0
;29243348;3085852;3447277;4113248;48064507;51326044;57370308
;27871466;2872514;3167114;3472462;41129312;43035473;47705275
;7842017;761299;921836;969090;1115372;8846306;10393896
;17950714;1864141;2035715;2255337;27381444;31113929;34121932
;2078735;247074;209563;248035;2594148;3075238;3189447
;1371882;213338;280163;640786;6935195;8290571;9665033
;0;0;0;0;0;0;0
;0;0;0;0;0;0;0
;-5872;-1563;-1677;-475;20691;1404;-9739
;;;;;;;
